NISN,Nama_Lengkap,Jenis_Kelamin,Usia,Kelas,Jurusan,Kehadiran_Persen,Rata_Nilai,Jumlah_Remedial,Peringkat_Kelas,Pernah_Tinggal_Kelas,Surat_Peringatan,Status_Ekstrakurikuler,Siswa_Bekerja,Status_Ortu,Jumlah_Saudara,Pendidikan_Tertinggi_Ortu,Pekerjaan_Ayah,Pekerjaan_Ibu,Penghasilan_Keluarga_Bulan,Pengeluaran_Keluarga_Bulan,Kepemilikan_Rumah,Kondisi_Rumah,Akses_Listrik,Sumber_Air_Bersih,Jarak_Ke_Sekolah_KM,Moda_Transportasi,Akses_Internet,Terdaftar_DTKS,Penerima_KIP,Penerima_PKH,Status_BPJS,Bantuan_Lokal_Daerah,Skor_Risiko,Status_Risiko,Skor_Kelayakan_Bansos,Kelayakan_Bansos,Rekomendasi_Bansos
4466589567,Gilang Sari,Laki-laki,16,9,-,98,69,3,25,0,0,Tidak Aktif,0,Lengkap,0,D3/S1,Buruh Harian,Pedagang,5000000,5300000,Milik Sendiri,Tidak Layak Huni,PLN Subsidi (450VA/900VA),Sumur Gali,2.1,Motor Pribadi,Paket Data,0,0,0,Mandiri Kelas 3,0,4,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
8429141456,Dewi Nasution,Laki-laki,17,11,Kejuruan,80,72,2,4,0,0,Aktif,0,Lengkap,1,D3/S1,Tidak Bekerja,Petani,700000,500000,Numpang Keluarga,Tidak Layak Huni,PLN Mandiri,Sumur Pompa,1.5,Motor Pribadi,Tidak Ada,0,0,0,PBI (Gratis),0,8,Sedang,9,Sangat Layak,KIP Prioritas
3303082117,Tegar Lubis,Laki-laki,18,11,Kejuruan,79,57,4,18,0,0,Tidak Aktif,0,Yatim Piatu,3,D3/S1,Petani,Karyawan Swasta,3200000,4050000,Dinas,Permanen,Nebeng Tetangga,Sumur Pompa,25.0,Jalan Kaki,Tidak Ada,0,0,0,PBI (Gratis),0,11,Tinggi,5,Layak,Bansos Daerah
2625792787,Ayu Kusuma,Perempuan,13,7,-,60,77,1,16,0,1,Aktif,1,Lengkap,1,SD,Petani,Wiraswasta,1000000,1100000,Milik Sendiri,Semi Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,4.4,Motor Pribadi,Paket Data,0,0,0,PBI (Gratis),0,11,Tinggi,5,Layak,Bansos Daerah
7665963761,Putri Susanto,Laki-laki,18,12,IPA,68,89,1,7,0,1,Tidak Aktif,1,Lengkap,3,SMA/SMK,PNS/TNI/Polri,Ibu Rumah Tangga,1800000,2100000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),PAM/PDAM,5.2,Diantar Ortu,Tidak Ada,1,0,1,Tidak Punya,0,9,Sedang,6,Layak,Bansos Daerah
8995970241,Wahyu Permata,Laki-laki,13,7,-,100,82,1,12,0,0,Tidak Aktif,0,Piatu,7,SMA/SMK,Wiraswasta,Buruh Harian,900000,1000000,Milik Sendiri,Permanen,PLN Mandiri,Sumur Gali,8.4,Motor Pribadi,Tidak Ada,1,1,0,Mandiri Kelas 3,0,10,Tinggi,12,Sangat Layak,PKH Prioritas
3479708607,Ratna Setiawan,Perempuan,15,8,-,87,100,0,1,0,0,Aktif,0,Cerai,0,D3/S1,Pedagang,Ibu Rumah Tangga,4200000,4400000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,0.8,Angkutan Umum,Wifi Rumah,0,1,0,Tidak Punya,0,1,Rendah,0,Tidak Layak,—
4026113008,Ratna Wijaya,Laki-laki,13,7,-,96,73,2,15,0,0,Tidak Aktif,1,Lengkap,2,SMA/SMK,Meninggal,Ibu Rumah Tangga,1100000,1050000,Sewa/Kontrak,Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,14.5,Angkutan Umum,Paket Data,1,0,1,Tidak Punya,1,7,Sedang,6,Layak,Bansos Daerah
9786748825,Nanda Sari,Perempuan,15,9,-,95,51,2,17,0,0,Aktif,0,Cerai,2,SD,Karyawan Swasta,Pedagang,3400000,4100000,Milik Sendiri,Semi Permanen,Nebeng Tetangga,Sumur Pompa,0.3,Motor Pribadi,Wifi Rumah,0,0,0,Mandiri Kelas 3,1,7,Sedang,3,Perlu Ditinjau,Verifikasi Lapangan
5728765136,Galih Wijaya,Laki-laki,18,11,IPA,72,75,3,13,1,2,Aktif,1,Yatim,6,D3/S1,Petani,Wiraswasta,1600000,2000000,Numpang Keluarga,Permanen,PLN Mandiri,Sumur Pompa,1.5,Jalan Kaki,Tidak Ada,0,0,0,Tidak Punya,0,14,Tinggi,9,Sangat Layak,KIP Prioritas
6488854841,Ilham Firmansyah,Laki-laki,15,8,-,100,41,3,24,0,0,Tidak Aktif,0,Lengkap,6,SMA/SMK,Meninggal,Ibu Rumah Tangga,2000000,1950000,Milik Sendiri,Semi Permanen,PLN Mandiri,PAM/PDAM,2.0,Angkutan Umum,Wifi Rumah,0,0,0,PBI (Gratis),0,8,Sedang,5,Layak,Bansos Daerah
2566942273,Ilham Handoko,Perempuan,13,7,-,100,66,3,26,0,0,Tidak Aktif,0,Lengkap,2,SD,Pedagang,Karyawan Swasta,2400000,3000000,Numpang Keluarga,Permanen,PLN Mandiri,PAM/PDAM,5.1,Diantar Ortu,Wifi Rumah,0,0,0,Mandiri Kelas 2/1,0,6,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
6884882440,Maya Sinaga,Perempuan,19,12,IPS,77,94,0,6,0,0,Aktif,0,Lengkap,0,SMA/SMK,Buruh Harian,Wiraswasta,1100000,1150000,Numpang Keluarga,Semi Permanen,PLN Mandiri,PAM/PDAM,3.7,Angkutan Umum,Paket Data,1,1,0,PBI (Gratis),1,5,Sedang,6,Layak,Bansos Daerah
3783290795,Budi Sinaga,Perempuan,16,9,-,44,77,2,10,0,2,Aktif,0,Piatu,2,SD,PNS/TNI/Polri,PNS,2600000,2650000,Sewa/Kontrak,Permanen,PLN Subsidi (450VA/900VA),PAM/PDAM,2.6,Jalan Kaki,Paket Data,0,0,0,Tidak Punya,0,7,Sedang,5,Layak,Bansos Daerah
4131575764,Lina Wijaya,Laki-laki,15,9,-,80,75,1,3,0,0,Aktif,0,Cerai,0,SMP,Buruh Harian,Ibu Rumah Tangga,7400000,7150000,Sewa/Kontrak,Permanen,Nebeng Tetangga,Sungai/Tadah Hujan,3.0,Sepeda,Tidak Ada,0,0,0,PBI (Gratis),0,3,Rendah,1,Tidak Layak,—
5996775663,Haris Susanto,Laki-laki,13,7,-,86,96,0,3,0,0,Tidak Aktif,0,Lengkap,2,Tidak Sekolah,Petani,Wiraswasta,1100000,900000,Sewa/Kontrak,Permanen,PLN Mandiri,PAM/PDAM,1.2,Jalan Kaki,Tidak Ada,1,0,1,Tidak Punya,0,5,Sedang,6,Layak,Bansos Daerah
6924716023,Rizky Saputra,Perempuan,17,11,IPA,77,69,3,18,0,0,Aktif,0,Yatim,4,SMA/SMK,Petani,Ibu Rumah Tangga,5600000,3900000,Sewa/Kontrak,Permanen,Nebeng Tetangga,PAM/PDAM,0.8,Motor Pribadi,Paket Data,1,1,0,PBI (Gratis),0,6,Sedang,7,Layak,Bansos Daerah
3392080953,Tegar Wijaya,Laki-laki,13,7,-,81,89,0,5,0,0,Tidak Aktif,0,Lengkap,1,SMA/SMK,Pedagang,Buruh Harian,7200000,6050000,Sewa/Kontrak,Semi Permanen,PLN Mandiri,Sumur Pompa,5.8,Angkutan Umum,Wifi Rumah,0,0,0,Tidak Punya,0,3,Rendah,2,Perlu Ditinjau,Verifikasi Lapangan
8235363119,Kurnia Kusuma,Laki-laki,13,8,-,74,74,2,9,1,1,Tidak Aktif,1,Lengkap,1,SMA/SMK,Wiraswasta,Ibu Rumah Tangga,1100000,1100000,Sewa/Kontrak,Permanen,PLN Mandiri,Sumur Pompa,5.6,Jalan Kaki,Paket Data,1,1,0,PBI (Gratis),0,10,Tinggi,5,Layak,Bansos Daerah
4332894265,Dimas Situmorang,Laki-laki,14,7,-,94,77,1,7,0,0,Tidak Aktif,0,Lengkap,1,SMA/SMK,PNS/TNI/Polri,Ibu Rumah Tangga,600000,550000,Dinas,Semi Permanen,PLN Mandiri,PAM/PDAM,12.5,Angkutan Umum,Paket Data,1,1,1,Mandiri Kelas 2/1,0,7,Sedang,8,Sangat Layak,—
6649827836,Dimas Harahap,Laki-laki,15,9,-,84,57,2,21,0,0,Aktif,0,Lengkap,1,D3/S1,Meninggal,Karyawan Swasta,2800000,2700000,Sewa/Kontrak,Permanen,PLN Mandiri,Sumur Gali,1.5,Motor Pribadi,Paket Data,0,0,0,Mandiri Kelas 3,0,3,Rendah,2,Perlu Ditinjau,Verifikasi Lapangan
2149938334,Agus Harahap,Perempuan,12,7,-,94,66,3,18,1,0,Aktif,0,Yatim,1,SMP,Buruh Harian,Petani,1400000,1800000,Numpang Keluarga,Semi Permanen,Nebeng Tetangga,Sumur Gali,5.6,Angkutan Umum,Paket Data,1,1,1,Mandiri Kelas 3,0,12,Tinggi,9,Sangat Layak,—
2351531223,Reni Situmorang,Laki-laki,16,11,IPA,97,54,4,26,1,0,Aktif,0,Lengkap,2,SD,Buruh Harian,Ibu Rumah Tangga,9800000,8900000,Numpang Keluarga,Semi Permanen,PLN Mandiri,PAM/PDAM,2.3,Diantar Ortu,Paket Data,0,0,0,Mandiri Kelas 2/1,1,8,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
8110054933,Maya Santoso,Perempuan,18,12,IPS,60,71,1,8,0,3,Tidak Aktif,0,Yatim,4,D3/S1,Petani,Ibu Rumah Tangga,2200000,2100000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),PAM/PDAM,8.8,Jalan Kaki,Paket Data,0,0,0,Tidak Punya,0,9,Sedang,7,Layak,Bansos Daerah
2970753705,Novi Puspita,Laki-laki,15,10,IPS,75,78,2,12,0,0,Aktif,0,Lengkap,4,SD,Petani,Pedagang,1100000,850000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),Sungai/Tadah Hujan,7.5,Diantar Ortu,Paket Data,1,1,0,PBI (Gratis),0,7,Sedang,7,Layak,Bansos Daerah
2137651678,Kurnia Wibowo,Perempuan,13,7,-,77,58,4,17,0,0,Aktif,0,Lengkap,0,S2/S3,Buruh Harian,Ibu Rumah Tangga,800000,550000,Milik Sendiri,Permanen,Nebeng Tetangga,Sumur Gali,3.6,Jalan Kaki,Paket Data,1,1,1,Tidak Punya,1,7,Sedang,7,Layak,Bansos Daerah
7805745017,Dewi Suryadi,Perempuan,17,11,IPA,100,99,0,1,0,0,Tidak Aktif,0,Yatim Piatu,3,D3/S1,Wiraswasta,Karyawan Swasta,5200000,6050000,Milik Sendiri,Semi Permanen,PLN Mandiri,Sumur Gali,2.2,Motor Pribadi,Tidak Ada,0,0,0,Mandiri Kelas 2/1,0,6,Sedang,5,Layak,Bansos Daerah
7010379415,Ratna Pratama,Laki-laki,18,11,Kejuruan,85,76,1,13,0,0,Aktif,0,Lengkap,2,SMA/SMK,Tidak Bekerja,Ibu Rumah Tangga,1300000,1350000,Numpang Keluarga,Permanen,PLN Mandiri,PAM/PDAM,7.1,Diantar Ortu,Paket Data,0,0,0,Tidak Punya,0,4,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
5284391408,Wahyu Sinaga,Perempuan,18,12,IPS,92,73,2,14,1,0,Tidak Aktif,0,Lengkap,0,S2/S3,Meninggal,Ibu Rumah Tangga,2200000,2500000,Milik Sendiri,Semi Permanen,PLN Mandiri,Sumur Pompa,5.4,Diantar Ortu,Wifi Rumah,0,0,0,Mandiri Kelas 3,0,6,Sedang,3,Perlu Ditinjau,Verifikasi Lapangan
7483366056,Yoga Setiawan,Perempuan,16,9,-,63,83,1,10,0,3,Aktif,1,Lengkap,0,SD,Buruh Harian,Petani,4700000,3700000,Sewa/Kontrak,Semi Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,1.6,Motor Pribadi,Tidak Ada,0,0,0,Mandiri Kelas 3,0,9,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
1470939445,Siti Wahyudi,Perempuan,16,11,IPA,85,62,3,11,0,0,Tidak Aktif,0,Yatim,0,SMP,Wiraswasta,Buruh Harian,1400000,1450000,Milik Sendiri,Tidak Layak Huni,PLN Mandiri,PAM/PDAM,0.9,Motor Pribadi,Paket Data,1,0,0,Tidak Punya,0,10,Tinggi,12,Sangat Layak,KIP Prioritas
3694860228,Arif Nugroho,Perempuan,17,11,IPA,94,75,1,7,0,0,Tidak Aktif,0,Lengkap,4,SMA/SMK,Buruh Harian,Petani,2100000,1750000,Milik Sendiri,Semi Permanen,Nebeng Tetangga,Sumur Pompa,2.3,Angkutan Umum,Wifi Rumah,1,0,1,Mandiri Kelas 3,0,3,Rendah,7,Layak,Bansos Daerah
5567816720,Galih Rahayu,Perempuan,18,11,IPS,93,63,2,23,0,0,Tidak Aktif,1,Lengkap,2,SMP,Petani,Ibu Rumah Tangga,2100000,1750000,Sewa/Kontrak,Semi Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,11.7,Angkutan Umum,Paket Data,1,1,1,Mandiri Kelas 3,0,8,Sedang,4,Perlu Ditinjau,Verifikasi Lapangan
9573276057,Eka Suryadi,Perempuan,17,11,Kejuruan,90,93,1,3,0,0,Tidak Aktif,0,Lengkap,2,D3/S1,Wiraswasta,PNS,3800000,2650000,Numpang Keluarga,Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,8.4,Jalan Kaki,Paket Data,0,0,0,PBI (Gratis),0,1,Rendah,1,Tidak Layak,—
7567496105,Shinta Hartono,Laki-laki,13,8,-,84,59,2,19,0,0,Aktif,0,Lengkap,0,SD,Karyawan Swasta,Pedagang,3500000,2700000,Milik Sendiri,Tidak Layak Huni,PLN Subsidi (450VA/900VA),Sumur Gali,1.1,Angkutan Umum,Tidak Ada,0,0,0,PBI (Gratis),1,7,Sedang,4,Perlu Ditinjau,Verifikasi Lapangan
9639245200,Wahyu Sari,Laki-laki,15,8,-,84,73,4,17,0,0,Tidak Aktif,0,Cerai,2,SMA/SMK,Petani,Ibu Rumah Tangga,1800000,1550000,Sewa/Kontrak,Semi Permanen,PLN Mandiri,Sumur Gali,1.0,Motor Pribadi,Paket Data,1,0,1,Mandiri Kelas 2/1,0,5,Sedang,7,Layak,Bansos Daerah
4095476665,Fandi Lestari,Laki-laki,14,9,-,65,77,3,13,0,3,Tidak Aktif,0,Lengkap,0,SMA/SMK,Pedagang,Petani,2300000,1750000,Sewa/Kontrak,Permanen,PLN Subsidi (450VA/900VA),Sumur Pompa,9.4,Motor Pribadi,Paket Data,0,0,0,Tidak Punya,0,5,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
8047877267,Joko Rahayu,Laki-laki,14,7,-,74,78,2,13,1,1,Tidak Aktif,0,Lengkap,1,SMA/SMK,Buruh Harian,Wiraswasta,1600000,2050000,Milik Sendiri,Tidak Layak Huni,Tidak Ada,Sumur Gali,1.1,Motor Pribadi,Wifi Rumah,1,0,1,Mandiri Kelas 2/1,0,8,Sedang,9,Sangat Layak,KIP Prioritas
5774080233,Novi Suryadi,Laki-laki,17,11,Kejuruan,86,65,3,19,0,0,Aktif,1,Lengkap,1,SMP,Karyawan Swasta,Ibu Rumah Tangga,600000,500000,Milik Sendiri,Permanen,Nebeng Tetangga,PAM/PDAM,4.7,Motor Pribadi,Paket Data,1,1,1,PBI (Gratis),0,8,Sedang,7,Layak,Bansos Daerah
2867302554,Tegar Budiman,Laki-laki,18,12,IPA,76,61,3,6,0,0,Aktif,0,Lengkap,0,SMP,Pedagang,Ibu Rumah Tangga,2700000,2100000,Dinas,Semi Permanen,Nebeng Tetangga,Sumur Gali,1.7,Diantar Ortu,Tidak Ada,0,0,0,Mandiri Kelas 3,0,6,Sedang,3,Perlu Ditinjau,Verifikasi Lapangan
2948728483,Citra Susanto,Perempuan,14,7,-,91,65,2,13,0,0,Aktif,0,Piatu,3,D3/S1,Meninggal,Karyawan Swasta,9900000,8100000,Milik Sendiri,Semi Permanen,Nebeng Tetangga,PAM/PDAM,12.9,Motor Pribadi,Tidak Ada,0,0,0,Mandiri Kelas 3,1,8,Sedang,5,Layak,Bansos Daerah
4919706735,Fandi Rahayu,Laki-laki,17,12,IPS,89,79,2,12,0,0,Aktif,0,Lengkap,0,SD,Petani,Pedagang,1000000,1050000,Milik Sendiri,Permanen,PLN Mandiri,PAM/PDAM,1.5,Diantar Ortu,Wifi Rumah,0,0,0,Mandiri Kelas 3,0,4,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
3615507143,Nanda Harahap,Laki-laki,13,7,-,99,71,1,20,0,0,Aktif,1,Yatim Piatu,2,D3/S1,Buruh Harian,Buruh Harian,1100000,800000,Milik Sendiri,Semi Permanen,PLN Mandiri,Sumur Pompa,8.4,Jalan Kaki,Paket Data,0,0,0,Tidak Punya,0,9,Sedang,8,Sangat Layak,KIP Prioritas
5951406973,Dewi Sinaga,Perempuan,15,9,-,94,83,2,8,0,0,Tidak Aktif,0,Lengkap,1,SMA/SMK,Pedagang,Ibu Rumah Tangga,1000000,1200000,Sewa/Kontrak,Permanen,PLN Mandiri,Sumur Pompa,3.5,Angkutan Umum,Paket Data,1,1,1,Tidak Punya,0,4,Rendah,5,Layak,Bansos Daerah
4274958945,Putri Kurniawan,Laki-laki,16,11,IPS,86,79,2,5,0,0,Aktif,0,Lengkap,1,D3/S1,Pedagang,Ibu Rumah Tangga,3900000,4950000,Sewa/Kontrak,Permanen,PLN Mandiri,Sungai/Tadah Hujan,3.8,Angkutan Umum,Paket Data,0,0,0,PBI (Gratis),1,1,Rendah,1,Tidak Layak,—
9592390865,Rina Pratama,Perempuan,17,11,IPS,92,43,3,20,0,0,Aktif,0,Piatu,0,SMA/SMK,Buruh Harian,Pedagang,3100000,2600000,Sewa/Kontrak,Permanen,PLN Mandiri,Sumur Pompa,0.5,Angkutan Umum,Paket Data,0,0,0,Tidak Punya,1,6,Sedang,5,Layak,Bansos Daerah
6687206971,Andi Kurniawan,Laki-laki,15,10,Kejuruan,95,76,1,15,0,0,Tidak Aktif,0,Lengkap,0,SMP,Karyawan Swasta,Ibu Rumah Tangga,1900000,1800000,Milik Sendiri,Semi Permanen,PLN Subsidi (450VA/900VA),PAM/PDAM,0.4,Motor Pribadi,Paket Data,0,0,0,Mandiri Kelas 3,0,2,Rendah,5,Layak,Bansos Daerah
